日期,松山機場
2020/4/1,3892
2020/4/2,2103
2020/4/3,1523
2020/4/4,1104
2020/4/5,1502
2020/4/6,3355
2020/4/7,3227
2020/4/8,3014
2020/4/9,3060
2020/4/10,3276
2020/4/11,1480
2020/4/12,1447
2020/4/13,3190
2020/4/14,3114
2020/4/15,3120
2020/4/16,3085
2020/4/17,3321
2020/4/18,1782
2020/4/19,1682
2020/4/20,3476
2020/4/21,3122
2020/4/22,3174
2020/4/23,3172
2020/4/24,3409
2020/4/25,1705
2020/4/26,1690
2020/4/27,3311
2020/4/28,3218
2020/4/29,3264
2020/4/30,3480
2020/5/1,2652
2020/5/2,1544
2020/5/3,1702
2020/5/4,3473
2020/5/5,3249
2020/5/6,3157
2020/5/7,3305
2020/5/8,3766
2020/5/9,1922
2020/5/10,1798
2020/5/11,3661
2020/5/12,3484
2020/5/13,3433
2020/5/14,3591
2020/5/15,3811
2020/5/16,2078
2020/5/17,2037
2020/5/18,3642
2020/5/19,3444
2020/5/20,3498
2020/5/21,3546
2020/5/22,3949
2020/5/23,1975
2020/5/24,2127
2020/5/25,3941
2020/5/26,3655
2020/5/27,3678
2020/5/28,3823
2020/5/29,4237
2020/5/30,2342
2020/5/31,2387
2020/6/1,4058
2020/6/2,3871
2020/6/3,3857
2020/6/4,3986
2020/6/5,4269
2020/6/6,2570
2020/6/7,2543
2020/6/8,4173
2020/6/9,3983
2020/6/10,4119
2020/6/11,4215
2020/6/12,4573
2020/6/13,2858
2020/6/14,2857
2020/6/15,4499
2020/6/16,4313
2020/6/17,4240
2020/6/18,4238
2020/6/19,4504
2020/6/20,3658
2020/6/21,2741
2020/6/22,4277
2020/6/23,4311
2020/6/24,4863
2020/6/25,3087
2020/6/26,2692
2020/6/27,2382
2020/6/28,3081
2020/6/29,4571
2020/6/30,4175
